Body Name,          Mass,                    X,                      Y,                      Z,                     VX,                     VY,                     VZ
Sol      ,  1.988920000000000E+30,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
Earth    ,  5.972200000000000E+24, -4.633668059194276E+10,  1.396252447816896E+11, -7.949092516563833E+06, -2.875534027196930E+04, -9.483342239731108E+03,  1.762877733199719E+00
Venus    ,  4.870000000000000E+24,  3.663739510556472E+10, -1.024809648564054E+11, -3.521891536198266E+09,  3.274017213164240E+04,  1.167057427885155E+04, -1.728761590147123E+03
Mercury  ,  3.300000000000000E+23, -6.905987261767102E+09, -6.915812196414095E+10, -5.018342174989551E+09,  3.870063434283401E+04, -2.357096833405925E+03, -3.742209014735427E+03
Mars     ,  6.416900000000000E+23,  6.766313265413876E+10, -2.013876054085404E+11, -5.879433724781916E+09,  2.388464400464243E+04,  9.799403470479440E+03, -3.803304271024452E+02
Jupiter  ,  1.000000000000000E+27, -2.620556337699151E+11,  7.347860554644001E+11,  2.810803028791606E+09, -1.246938574156233E+04, -3.781481335623905E+03,  2.946848037865963E+02
